"r_pkg","use_pak","cran","installed_version","installed_from","installed_repository","install_time","image","r_version","system","architecture","timestamp"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","19.347","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-04 00:06:24.742727"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","source","RSPM","18.387","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-04 00:06:24.513614"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","26.71","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-04 00:06:32.762019"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","binary","RSPM","6.876","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-04 00:06:13.700758"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.172","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-04 00:06:27.470372"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","binary","RSPM","6.853","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-04 00:06:15.287727"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.401","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-04 00:06:19.145514"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","27.349","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-04 00:08:23.476597"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.192","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-04 00:06:27.127609"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","27.057","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-04 00:06:32.203789"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","source","RSPM","18.648","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-04 00:06:17.605726"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","19.933","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-04 00:06:27.426594"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","20.104","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-04 00:06:20.674728"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","19.307","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-04 00:06:17.625843"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.313","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-04 00:06:19.354596"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","26.473","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-04 00:08:02.199264"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","25.696","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-04 00:07:41.597244"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","20.321","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-04 00:06:21.149176"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","19.698","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-04 00:06:29.322826"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","binary","RSPM","7.529","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-04 00:06:09.564454"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.297","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-04 00:06:27.157758"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","27.07","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-04 00:06:36.193778"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","18.94","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-04 00:06:15.631533"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","26.162","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-04 00:07:50.710521"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","27.078","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-04 00:06:31.972206"
