"r_pkg","use_pak","cran","installed_version","installed_from","installed_repository","install_time","image","r_version","system","architecture","timestamp"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","source","RSPM","18.611","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 23:48:49.670212"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","19.871","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 23:48:40.753534"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.501","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:48:35.321371"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.801","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 23:48:44.650245"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","26.857","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 23:48:49.038177"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","25.106","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 23:49:58.4602"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","18.916","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 23:48:43.378563"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","19.914","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 23:48:47.367403"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","26.471","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:48:49.802941"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","source","RSPM","19.046","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:48:38.46643"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","24.59","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 23:49:53.791057"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","18.608","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:48:35.163643"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","26.478","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:48:51.705633"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","21.593","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 23:48:41.658863"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","binary","RSPM","6.74","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:48:32.5893"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","19.39","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 23:48:44.882378"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","binary","RSPM","7.184","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:48:32.415976"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","17.933","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 23:48:43.812799"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.95","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 23:48:41.266619"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.556","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:48:35.628113"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","binary","RSPM","7.929","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 23:48:33.70519"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","25.585","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 23:50:29.608767"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","20.072","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 23:48:46.898176"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","28.862","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 23:48:53.979005"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","25.804","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 23:50:26.558821"
