"r_pkg","use_pak","cran","installed_version","installed_from","installed_repository","install_time","image","r_version","system","architecture","timestamp","run_link"
"data.table","FALSE","https://p3m.dev/cran/latest/bin/linux/jammy-aarch64/4.5","1.17.8","source","RSPM","20.35","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 18:10:07.347061","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","18.799","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 18:09:57.326319","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","TRUE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-aarch64/4.4","1.15.4","source","RSPM","24.833","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 18:11:26.209361","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.007","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 18:10:05.940917","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.009","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 18:10:51.167453","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","TRUE","https://p3m.dev/cran/latest/bin/linux/jammy-x86_64/4.5","1.17.8","source","RSPM","8.992","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 18:09:57.91622","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.545","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 18:09:57.732786","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","26.348","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 18:11:25.216714","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","TRUE","https://p3m.dev/cran/latest/bin/linux/jammy-aarch64/4.5","1.17.8","source","RSPM","26.071","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 18:11:48.106204","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","26.044","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 18:11:48.763483","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","26.605","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 18:10:12.089106","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","TRUE","https://p3m.dev/cran/latest/bin/linux/jammy-aarch64/4.4","1.17.8","source","RSPM","25.937","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 18:11:22.021882","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","FALSE","https://p3m.dev/cran/latest/bin/linux/jammy-x86_64/4.4","1.17.8","binary","RSPM","2.106","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 18:09:40.328455","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","26.806","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 18:12:01.842015","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.335","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 18:10:07.314178","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","26.726","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 18:10:18.835785","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","19.554","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 18:10:14.388058","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.463","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 18:10:00.332042","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","20.531","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 18:10:02.399193","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","FALSE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-x86_64/4.4","1.15.4","binary","RSPM","1.802","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 18:09:39.634052","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","26.648","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 18:11:25.385702","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","TRUE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-x86_64/4.4","1.15.4","source","RSPM","8.233","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 18:09:54.787069","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","26.916","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 18:10:17.269857","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","26.729","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 18:10:11.374847","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","FALSE","https://p3m.dev/cran/latest/bin/linux/jammy-x86_64/4.5","1.17.8","binary","RSPM","2.259","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 18:09:43.372689","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","FALSE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-aarch64/4.4","1.15.4","source","RSPM","18.036","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 18:10:03.301515","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","FALSE","https://p3m.dev/cran/latest/bin/linux/jammy-aarch64/4.4","1.17.8","source","RSPM","19.586","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 18:10:06.353667","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
"data.table","TRUE","https://p3m.dev/cran/latest/bin/linux/jammy-x86_64/4.4","1.17.8","source","RSPM","9.893","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 18:09:58.641245","https://github.com/gvegayon/r-pkg-installs/actions/runs/17622790902"
