"r_pkg","use_pak","cran","installed_version","installed_from","installed_repository","install_time","image","r_version","system","architecture","timestamp"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","26.589","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:58:26.856393"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","25.133","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 23:59:32.11626"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","18.845","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 23:58:14.436659"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.389","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 23:58:14.115235"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.901","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 23:58:16.952821"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","26.37","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 23:59:35.037835"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.424","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 23:58:09.920933"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","26.478","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-04 00:00:00.04939"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","source","RSPM","17.633","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 23:58:18.632673"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","19.685","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 23:58:14.871644"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","28.044","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:58:21.61997"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","20.195","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 23:58:17.389925"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","26.327","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 23:59:57.524346"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","source","RSPM","18.042","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:58:02.380516"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","20.41","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 23:58:09.517519"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","19.639","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 23:58:11.083617"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","binary","RSPM","7.25","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:58:05.308841"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.566","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:58:03.882488"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","19.019","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:58:06.009522"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","20.518","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 23:58:27.716353"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","binary","RSPM","6.706","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 23:58:08.631109"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","27.03","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 23:58:23.404284"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","binary","RSPM","7.661","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:58:05.806697"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","26.959","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 23:58:20.451115"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.779","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 23:58:10.39888"
