"r_pkg","use_pak","cran","installed_version","installed_from","installed_repository","install_time","image","r_version","system","architecture","timestamp"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","19.673","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 16:39:07.654217"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","binary","RSPM","7.477","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:38:45.542121"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","binary","RSPM","7.471","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:38:48.594557"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","27.645","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 16:40:51.58004"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","27.199","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 16:40:19.575727"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","27.651","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:39:10.805503"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","22.268","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 16:38:55.078551"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","26.776","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 16:40:50.648665"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","26.466","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 16:39:06.953545"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.492","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 16:39:03.034017"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","25.898","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 16:40:19.84787"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","19.473","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 16:39:07.244794"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.534","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 16:39:07.224502"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","source","RSPM","18.89","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 16:39:01.05951"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","20.069","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:38:50.405871"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","binary","RSPM","7.557","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 16:38:47.966346"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","20.708","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:38:54.575547"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","20.161","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 16:38:52.870342"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","27.514","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 16:39:09.455338"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.539","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 16:38:58.474501"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","source","RSPM","18.636","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:38:52.477744"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.763","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:38:52.44395"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","20.435","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 16:39:08.75404"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","26.314","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 16:39:09.422154"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","19.645","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 16:38:55.785215"
