"r_pkg","use_pak","cran","installed_version","installed_from","installed_repository","install_time","image","r_version","system","architecture","timestamp"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","26.911","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 22:42:07.621564"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","binary","CRAN","19.857","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 22:40:56.56967"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","20.943","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 22:40:52.168891"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","19.314","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 22:40:51.699789"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","24.702","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 22:42:29.019411"
"data.table","TRUE","https://p3m.dev/cran/2025-08-30","1.17.8","binary","RSPM","25.154","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 22:42:08.596107"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","27.139","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 22:42:06.754969"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","binary","CRAN","19.583","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 22:40:44.11446"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","20.708","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 22:40:46.781975"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","binary","CRAN","18.619","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 22:40:38.219471"
"data.table","TRUE","https://p3m.dev/cran/2025-08-30","1.17.8","binary","RSPM","27.198","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 22:42:38.547389"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","18.831","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 22:40:36.00746"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","26.459","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 22:41:00.149046"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","26.829","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 22:40:55.387509"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","26.315","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 22:42:35.99286"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","27.073","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 22:41:01.263274"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","binary","CRAN","18.126","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 22:40:54.007057"
"data.table","FALSE","https://p3m.dev/cran/2025-08-30","1.17.8","binary","RSPM","21.105","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-03 22:40:51.487972"
"data.table","TRUE","https://p3m.dev/cran/2025-08-30","1.17.8","binary","RSPM","27.794","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 22:40:52.653814"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","26.544","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 22:40:52.307478"
"data.table","FALSE","https://p3m.dev/cran/2025-08-30","1.17.8","binary","RSPM","19.361","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-03 22:40:59.588518"
"data.table","FALSE","https://p3m.dev/cran/2025-08-30","1.17.8","binary","RSPM","20.66","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 22:40:44.069979"
"data.table","TRUE","https://p3m.dev/cran/2025-08-30","1.17.8","binary","RSPM","28.285","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-03 22:41:02.239867"
"data.table","FALSE","https://p3m.dev/cran/2025-08-30","1.17.8","binary","RSPM","19.365","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-03 22:40:42.577427"
