"r_pkg","use_pak","cran","installed_version","installed_from","installed_repository","install_time","image","r_version","system","architecture","timestamp","run_link"
"data.table","FALSE","https://p3m.dev/cran/latest/bin/linux/jammy-aarch64/4.5","1.17.8","source","RSPM","21.288","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 22:32:24.851098","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","TRUE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-aarch64/4.4","1.15.4","source","RSPM","26.594","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:33:37.634475","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","26.042","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 22:33:52.040499","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","FALSE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-aarch64/4.5","NA","NA","NA","4.152","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 22:31:59.71471","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","TRUE","https://p3m.dev/cran/latest/bin/linux/jammy-x86_64/4.4","1.17.8","source","RSPM","9.627","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:32:01.806567","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","TRUE","https://p3m.dev/cran/latest/bin/linux/jammy-aarch64/4.4","1.17.8","source","RSPM","25.267","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:33:26.196104","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","TRUE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-x86_64/4.4","1.15.4","source","RSPM","8.382","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:32:20.679246","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.805","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:32:10.342535","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","TRUE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-x86_64/4.5","NA","NA","NA","11.626","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:32:10.689383","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","25.552","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 22:33:56.424674","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.364","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:32:12.944866","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.987","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:32:07.00231","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","20.964","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 22:32:16.140367","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","26.375","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:33:29.007532","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","FALSE","https://p3m.dev/cran/latest/bin/linux/jammy-x86_64/4.5","1.17.8","binary","RSPM","2.213","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:31:53.143216","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","26.866","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:32:28.463619","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","TRUE","https://p3m.dev/cran/latest/bin/linux/jammy-x86_64/4.5","1.17.8","source","RSPM","8.346","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:32:03.287416","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","28.093","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:32:21.891501","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.105","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:32:11.942487","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","20.144","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:32:10.421658","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","TRUE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-aarch64/4.5","NA","NA","NA","10.579","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 22:33:51.304703","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.946","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:32:05.86515","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","25.802","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:33:33.667792","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","FALSE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-x86_64/4.5","NA","NA","NA","4.715","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:31:49.270029","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","FALSE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-aarch64/4.4","1.15.4","source","RSPM","18.138","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:32:10.639828","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","27.564","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:32:23.907666","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628513231"
