"r_pkg","use_pak","cran","installed_version","installed_from","installed_repository","install_time","image","r_version","system","architecture","timestamp"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.623","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 17:33:44.512806"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.492","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 17:33:40.47256"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","binary","RSPM","6.846","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 17:33:31.684627"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","source","RSPM","18.82","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 17:33:42.42335"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","26.649","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 17:33:51.571704"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","27.293","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 17:33:49.390927"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","29.032","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 17:33:55.571062"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.639","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 17:33:43.726243"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","26.445","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 17:35:03.709649"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","19.258","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 17:33:45.471047"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","26.334","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 17:34:59.265504"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.468","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 17:33:40.377332"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","source","RSPM","18.983","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 17:33:36.993633"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","19.594","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 17:33:35.272231"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","19.737","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 17:33:38.171119"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","26.667","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 17:35:28.456891"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.375","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 17:33:49.869479"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","27.214","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 17:33:52.598025"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","27.178","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 17:35:35.190174"
