"r_pkg","use_pak","cran","installed_version","installed_from","installed_repository","install_time","image","r_version","system","architecture","timestamp","run_link"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","28.598","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 20:16:17.110399","https://github.com/gvegayon/r-pkg-installs/actions/runs/17625715079"
"data.table","TRUE","https://p3m.dev/cran/latest/bin/linux/jammy-x86_64/4.5","1.17.8","source","RSPM","8.526","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 20:15:45.592026","https://github.com/gvegayon/r-pkg-installs/actions/runs/17625715079"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","26.768","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 20:17:48.564489","https://github.com/gvegayon/r-pkg-installs/actions/runs/17625715079"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","18.063","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 20:15:51.272266","https://github.com/gvegayon/r-pkg-installs/actions/runs/17625715079"
"data.table","TRUE","https://p3m.dev/cran/latest/bin/linux/jammy-x86_64/4.4","1.17.8","source","RSPM","8.636","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 20:15:45.732261","https://github.com/gvegayon/r-pkg-installs/actions/runs/17625715079"
"data.table","TRUE","https://p3m.dev/cran/latest/bin/linux/jammy-aarch64/4.4","1.17.8","source","RSPM","25.544","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 20:17:25.014751","https://github.com/gvegayon/r-pkg-installs/actions/runs/17625715079"
"data.table","TRUE","https://p3m.dev/cran/latest/bin/linux/jammy-aarch64/4.5","1.17.8","source","RSPM","26.564","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 20:17:45.192058","https://github.com/gvegayon/r-pkg-installs/actions/runs/17625715079"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","27.923","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 20:16:02.119704","https://github.com/gvegayon/r-pkg-installs/actions/runs/17625715079"
"data.table","FALSE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-x86_64/4.4","1.15.4","binary","RSPM","2.218","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 20:15:32.441057","https://github.com/gvegayon/r-pkg-installs/actions/runs/17625715079"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","20.263","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 20:15:57.139667","https://github.com/gvegayon/r-pkg-installs/actions/runs/17625715079"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.897","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 20:16:01.250528","https://github.com/gvegayon/r-pkg-installs/actions/runs/17625715079"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","25.804","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 20:17:06.972612","https://github.com/gvegayon/r-pkg-installs/actions/runs/17625715079"
