"r_pkg","use_pak","cran","installed_version","installed_from","installed_repository","install_time","image","r_version","system","architecture","timestamp"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","binary","RSPM","7.882","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-05 16:30:05.689927"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","26.8","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-05 16:30:23.833678"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","20.82","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-05 16:30:19.080225"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","26.155","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-05 16:32:05.269426"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.059","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-05 16:30:18.248233"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.66","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-05 16:30:20.472528"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","source","RSPM","20.298","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-05 16:30:13.759955"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","25.789","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-05 16:32:08.071938"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","19.841","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-05 16:30:14.111605"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","27.319","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-05 16:30:38.066002"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","18.848","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-05 16:30:08.377857"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","18.936","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-05 16:30:08.315636"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/2024-03-31","1.15.4","source","RSPM","18.648","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-05 16:30:14.227469"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","binary","RSPM","7.163","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-05 16:30:03.373318"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","26.207","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-05 16:31:42.696764"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","19.936","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-05 16:30:09.484533"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","binary","RSPM","27.942","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-05 16:30:28.661807"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","18.454","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-05 16:30:23.176324"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","27.855","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-05 16:31:48.294253"
"data.table","FALSE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","source","RSPM","19.801","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-05 16:30:21.382273"
"data.table","TRUE","https://p3m.dev/cran/__linux__/jammy/latest","1.17.8","binary","RSPM","7.592","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-05 16:30:05.676638"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","binary","CRAN","26.959","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-05 16:30:25.072352"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.293","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-05 16:30:18.073984"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","21.168","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-05 16:30:13.235674"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.548","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-05 16:30:11.11831"
