"r_pkg","use_pak","cran","installed_version","installed_from","installed_repository","install_time","image","r_version","system","architecture","timestamp","run_link"
"data.table","FALSE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-x86_64/4.5","NA","NA","NA","5.007","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:17:37.629843","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","TRUE","https://p3m.dev/cran/latest/bin/linux/jammy-x86_64/4.4","1.17.8","source","RSPM","9.173","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:17:51.180335","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","TRUE","https://p3m.dev/cran/latest/bin/linux/jammy-aarch64/4.4","1.17.8","source","RSPM","25.406","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:19:09.708996","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","26.319","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 22:19:47.162627","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.812","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:17:57.841937","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.732","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:17:59.71395","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","TRUE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-x86_64/4.4","1.15.4","source","RSPM","8.534","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:17:50.393965","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","25.699","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:19:29.815716","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","25.834","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 22:19:44.491486","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","20.796","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:17:56.804484","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","FALSE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-aarch64/4.4","1.15.4","source","RSPM","18.616","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:18:02.684129","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","26.591","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:18:04.024497","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","FALSE","https://p3m.dev/cran/latest/bin/linux/jammy-x86_64/4.4","1.17.8","binary","RSPM","1.965","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:17:31.034453","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","FALSE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-aarch64/4.5","NA","NA","NA","4.481","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 22:17:48.114304","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","TRUE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-aarch64/4.4","1.15.4","source","RSPM","24.221","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:19:15.854094","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","FALSE","https://p3m.dev/cran/2024-03-31/bin/linux/jammy-x86_64/4.4","1.15.4","binary","RSPM","2.048","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:17:32.611535","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","18.707","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:17:47.758904","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","FALSE","https://p3m.dev/cran/latest/bin/linux/jammy-aarch64/4.4","1.17.8","source","RSPM","18.916","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:17:57.979809","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","TRUE","https://p3m.dev/cran/latest/bin/linux/jammy-x86_64/4.5","1.17.8","source","RSPM","8.432","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:17:49.564743","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","FALSE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","19.358","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:17:52.006602","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","TRUE","https://cloud.r-project.org/","1.17.8","source","CRAN","28.514","rocker/r-ver:4.4.0","4.4.0","x86_64, linux-gnu","x86_64","2025-09-10 22:18:14.222739","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","FALSE","https://p3m.dev/cran/latest/bin/linux/jammy-aarch64/4.5","1.17.8","source","RSPM","21.103","rocker/r-ver:latest","4.5.1","aarch64, linux-gnu","aarch64","2025-09-10 22:18:04.011504","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","TRUE","https://p3m.dev/cran/latest","1.17.8","source","RSPM","25.223","rocker/r-ver:4.4.0","4.4.0","aarch64, linux-gnu","aarch64","2025-09-10 22:19:23.081166","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
"data.table","FALSE","https://cloud.r-project.org/","1.17.8","source","CRAN","20.074","rocker/r-ver:latest","4.5.1","x86_64, linux-gnu","x86_64","2025-09-10 22:17:49.570452","https://github.com/gvegayon/r-pkg-installs/actions/runs/17628250334"
